VigenciaPPA,MacroObjetivo,UnidadeOrcamentaria,AreaDescricao,Programa,ProgramaResumo,TipoProgramaDescricao,DenominacaoPrograma,JustificativaPrograma,Funcao,Subfuncao,DescricaoAcao,TipoAcao,FinalidadeAcao,DescricaoDetalheAcao,ProdutoDaAcao,UnidadeMedida,RepresentacaoUnidade,FinalidadePadronizada,ModoExecucaoPadronizado,ProdutoPadronizado
2024 - 2027,Saúde,Fundo Estadual para Implantação do Heuro em Porto Velho,Área Social,GESTÃO E OPERACIONALIZAÇÃO DO HEURO,Manter a gestão e operacionalização do HEURO ,Finalístico,Gestão e Operacionalização do HEURO,"Busca-se manter a locação do prédio do Novo Hospital sob medida de reversão ao final do contrato, bem como assegurar a manutenção da Parceria Público-Privada PPP",Saúde,Assistência Hospitalar e Ambulatorial,ASSEGURAR A MANUTENÇÃO DE PARCERIAS PÚBLICO PRIVADAS - PPP,Atividade,"Assegurar o pagameto de valor de contraprestação mensal ao parceiro privado referente contrato de equipagem, operação e manutenção do Novo Hospital de Urgência e Emergência de Rondônia mediante Concessão Público Administrativa",Pagamento de Valor de Contraprestação Mensal,"Equipagem, Operação e Manutenção do Novo Hospital de Urgência e Emergência de Rondônia por Parceria Público-Privada, Concessão Público Administrativa",Unidade,Un,NULL,NULL,NULL
2025 - 2027,Saúde,Fundo Estadual para Implantação do Heuro em Porto Velho,Área Social,GESTÃO E OPERACIONALIZAÇÃO DO HEURO,Manter a gestão e operacionalização do HEURO ,Finalístico,Gestão e Operacionalização do HEURO,"Busca-se manter a locação do prédio do Novo Hospital sob medida de reversão ao final do contrato, bem como assegurar a manutenção da Parceria Público-Privada PPP",Saúde,Assistência Hospitalar e Ambulatorial,AQUISIÇÃO OU CONSTRUÇÃO DE NOVA ESTRUTURA PARA SERVIÇOS DE URGÊNCIA E EMERGÊNCIA,Atividade,"Adquirir ou construir um novo imóvel para a instalação de estrutura física moderna e funcional, visando a expansão da capacidade de atendimento e a reorganização dos serviços médico-hospitalares de urgência e emergência.","A execução, em hipótese de aquisição do imóvel, deverá ser realizada diretamente pelo Poder Executivo, em caso de construção, ocorrerá mediante contratação de empresa especializada, que também poderá ser contratada para o planejamento e execução de eventuais obras e instalações em imóvel adquirido pelo estado, bem como fornecimento de bens e equipamentos permanentes indispensáveis à plena operacionalização da nova unidade ou expansão.",Estrutura hospitalar implantada,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Cidadania,"Secretaria de Estado da Juventude, Cultura, Esporte e Lazer",Área Social,PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO CULTURAL E IMATERIAL DE RONDÔNIA,PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO CULTURAL E IMATERIAL DE RONDÔNIA,Finalístico,"Preservar o patrimonio histórico e cultural do Estado, promovendo açoes para o desenvolvimento cultural com difusão, manutenção e preservação da cultura contribuindo para o desenvolvimento humano da população.","Aplicação de recurso financeiro advindo do Estado de Rondônia, conforme disposto de lei de n° 965 de 20.12.2017 que atribui a superintendência estadual da juventude, cultura, Esporte e lazer - SEJUCEL, desenvolver ações de promoção, difusão e orientação das atividades culturais, em todas as formas e manifestações, bem como preservar o patrimônio histórico e cultural do Estado.",Cultura,Difusão Cultural,PRESERVAR AÇÕES DE DESENVOLVIMENTO HISTÓRICO E CULTURAL,Atividade,"Propósito é fomentar iniciativas que impulsionem o desenvolvimento histórico e cultural, enriquecendo a sociedade com conhecimento, preservando nossas raízes e promovendo a diversidade cultural.","Promoção de ações que visam o apoio, incentivo de bens culturais  materiais e imateriais, tais como festas e eventos populares sendo por meio de: Execução direta; Termo de colaboração; Termo de Convênio dentre outras.",ações para o desenvolvimento cultural promovidas,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Defensoria Pública do Estado de Rondônia,Área Institucional,GESTÃO DE PESSOAS NA DPE/RO,GESTÃO DE PESSOAS NA DPE/RO,"Gestão, Manutenção e Serviços",Gestão de Pessoas na DPE/RO.,"O programa se justifica pela necessidade de gestão das pessoas que trabalham na Defensoria Pública, por meio do pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas, tendo em vista o pleno funcionamento do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Administração Geral,REALIZAR CONCURSOS PÚBLICOS PARA PROVIMENTO DO QUADRO FUNCIONAL DA DPE/RO,Projeto,Realização de concursos públicos para provimento do quadro funcional da DPE/RO.,Contratação de empresa especializada na realização de concursos públicos.,Concurso Público Homologado,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Defensoria Pública do Estado de Rondônia,Área Institucional,GESTÃO DE PESSOAS NA DPE/RO,GESTÃO DE PESSOAS NA DPE/RO,"Gestão, Manutenção e Serviços",Gestão de Pessoas na DPE/RO.,"O programa se justifica pela necessidade de gestão das pessoas que trabalham na Defensoria Pública, por meio do pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas, tendo em vista o pleno funcionamento do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Administração Geral,GERIR O QUADRO DE  MEMBROS DA DPE/RO,Atividade,"Gestão do quadro de membros da Defensoria Pública por meio do pagamento de remuneração, benefícios e encargos, tendo em vista o pleno funcionamento do órgão.","Pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas.",Membros Ativos.,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Defensoria Pública do Estado de Rondônia,Área Institucional,GESTÃO DE PESSOAS NA DPE/RO,GESTÃO DE PESSOAS NA DPE/RO,"Gestão, Manutenção e Serviços",Gestão de Pessoas na DPE/RO.,"O programa se justifica pela necessidade de gestão das pessoas que trabalham na Defensoria Pública, por meio do pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas, tendo em vista o pleno funcionamento do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Administração Geral,GERIR O QUADRO DE SERVIDORES DA DPE/RO,Atividade,"Gestão do quadro de servidores da Defensoria Pública, tendo em vista o pleno funcionamento do órgão.","Pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas.",Servidores Ativos,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Defensoria Pública do Estado de Rondônia,Área Institucional,GESTÃO DE PESSOAS NA DPE/RO,GESTÃO DE PESSOAS NA DPE/RO,"Gestão, Manutenção e Serviços",Gestão de Pessoas na DPE/RO.,"O programa se justifica pela necessidade de gestão das pessoas que trabalham na Defensoria Pública, por meio do pagamento de remuneração, benefícios e encargos, atração e retenção de talentos, melhoria das condições de trabalho e estabelecimento de boas práticas, tendo em vista o pleno funcionamento do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Administração Geral,DESENVOLVER O PROGRAMA DE ESTÁGIO PARA ESTUDANTES NA DPE/RO,Atividade,"Desenvolvimento do programa de estágio para estudantes na DPE/RO, tendo em vista o pleno funcionamento do órgão.","Pagamento de bolsa de estudos e auxílio transporte, pagamento de seguro de vida e estabelecimento de boas práticas.",Estagiários Ativos,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Defensoria Pública do Estado de Rondônia,Área Institucional,ASSISTÊNCIA JURÍDICA INTEGRAL E GRATUITA AOS VULNERÁVEIS,ASSISTÊNCIA JURÍDICA INTEGRAL E GRATUITA AOS VULNERÁVEIS,Finalístico,Assistência Jurídica Integral e Gratuita aos Vulneráveis.,"O programa se justifica pela necessidade de aperfeiçoamento da área finalística da Defensoria Pública, tendo em vista o cumprimento de seu dever constitucional de prestar assistência jurídica integral e gratuita aos vulneráveis, garantindo-lhes o acesso à justiça e concretizando direitos individuais e coletivos.",Essencial à Justiça,"Direitos Individuais, Coletivos e Difusos",PROMOVER AÇÕES PARA EDUCAÇÃO EM DIREITOS,Atividade,"Promoção de ações voltadas para a educação em direitos como parte da missão da DPE de garantir o acesso à justiça, proteger os direitos das pessoas em situação de vulnerabilidade e promover a igualdade e a justiça social. ","Promoção de palestras, congressos, seminários, cursos, eventos e outras atividades voltadas para a educação em direitos da sociedade.",Ações de educação em direitos realizadas para a sociedade,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Defensoria Pública do Estado de Rondônia,Área Institucional,ASSISTÊNCIA JURÍDICA INTEGRAL E GRATUITA AOS VULNERÁVEIS,ASSISTÊNCIA JURÍDICA INTEGRAL E GRATUITA AOS VULNERÁVEIS,Finalístico,Assistência Jurídica Integral e Gratuita aos Vulneráveis.,"O programa se justifica pela necessidade de aperfeiçoamento da área finalística da Defensoria Pública, tendo em vista o cumprimento de seu dever constitucional de prestar assistência jurídica integral e gratuita aos vulneráveis, garantindo-lhes o acesso à justiça e concretizando direitos individuais e coletivos.",Essencial à Justiça,"Direitos Individuais, Coletivos e Difusos",DESENVOLVER ATOS DE DEFESA E PROMOÇÃO DE DIREITOS,Atividade,"Aperfeiçoamento da área finalística da Defensoria Pública, tendo em vista o cumprimento de seu dever constitucional de prestar assistência jurídica integral e gratuita aos vulneráveis.","Promoção de assistência jurídica integral e gratuita aos vulneráveis e fortalecimento da atuação extrajudicial, por meio da realização de atendimentos, audiências, petições e recursos.",Atos de Defesa e Promoção de Direitos Realizados,Unidade,Un,NULL,NULL,NULL
2025 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,"Gestão, Manutenção e Serviços",Fortalecimento e aprimoramento cultural do quadro funcional da DPE/RO,"O programa se justifica pela necessidade de fortalecimento do quadro funcional da Defensoria Pública, associado ao aprimoramento cultural daqueles que trabalham no órgão, tendo em vista a garantia de uma atuação eficiente por meio de pessoas qualificadas.",Essencial à Justiça,Administração Geral,APRIMORAR A GESTÃO DE PESSOAS NA DPE/RO,Atividade,"Aprimoramento da gestão de pessoas na DPE/RO, por meio da melhoria das condições de trabalho e estabelecimento de boas práticas.","Realização de ações para contratação de serviços especializados, aquisição de bens e promoção de atividades e eventos.",Ações realizadas para aprimoramento da gestão de pessoas.,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,"Gestão, Manutenção e Serviços",Fortalecimento e aprimoramento cultural do quadro funcional da DPE/RO,"O programa se justifica pela necessidade de fortalecimento do quadro funcional da Defensoria Pública, associado ao aprimoramento cultural daqueles que trabalham no órgão, tendo em vista a garantia de uma atuação eficiente por meio de pessoas qualificadas.",Essencial à Justiça,Administração Geral,REALIZAR CONCURSOS PÚBLICOS PARA PROVIMENTO DO QUADRO FUNCIONAL DA DPE/RO,Projeto,Realização de concursos públicos para provimento do quadro funcional da DPE/RO.,Contratação de empresa especializada na realização de concursos públicos.,Concurso Público Homologado,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,FORTALECIMENTO E APRIMORAMENTO CULTURAL DO QUADRO FUNCIONAL DA DPE/RO,"Gestão, Manutenção e Serviços",Fortalecimento e aprimoramento cultural do quadro funcional da DPE/RO,"O programa se justifica pela necessidade de fortalecimento do quadro funcional da Defensoria Pública, associado ao aprimoramento cultural daqueles que trabalham no órgão, tendo em vista a garantia de uma atuação eficiente por meio de pessoas qualificadas.",Essencial à Justiça,Formação de Recursos Humanos,PROMOVER A GESTÃO DO CONHECIMENTO NA DPE/RO,Atividade,Promoção da gestão do conhecimento na DPE/RO em prol do desenvolvimento intelectual e cultural das pessoas que trabalham no órgão.,"Realização de treinamentos, capacitações, aquisição de bens e serviços relacionados à gestão do conhecimento, bem como incentivo à formação, produção acadêmica e participação em eventos.",Ações realizadas para a gestão do conhecimento do quadro funcional da DPE.,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,"Gestão, Manutenção e Serviços",Estruturação e modernização da DPE/RO,"O programa se justifica pela necessidade de estruturação, aparelhamento, manutenção, modernização e aprimoramento da comunicação na Defensoria Pública, tendo em vista o pleno funcionamento das unidades e atividades do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Administração Geral,APARELHAR E MANTER O FUNCIONAMENTO DAS UNIDADES DA DPE/RO,Atividade,"Aparelhamento e manutenção das unidades e atividades da Defensoria Pública, tendo em vista o pleno funcionamento do órgão.","Realização de aquisições de equipamentos e mobiliário em geral, bem como contratação de serviços.",Unidades aparelhadas e/ou Mantidas,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,"Gestão, Manutenção e Serviços",Estruturação e modernização da DPE/RO,"O programa se justifica pela necessidade de estruturação, aparelhamento, manutenção, modernização e aprimoramento da comunicação na Defensoria Pública, tendo em vista o pleno funcionamento das unidades e atividades do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Administração Geral,"CONSTRUIR, REFORMAR E AMPLIAR AS UNIDADES DA DPE/RO",Atividade,"Construção, reforma e ampliação das unidades da DPE/RO, tendo em vista a garantia de espaços físicos adequados para o público interno e externo.","Realização de construções, reformas e ampliações de núcleo, por meio de contratação de serviços especializados.","Ações realizadas para construção, reforma e ampliação de unidades",Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,"Gestão, Manutenção e Serviços",Estruturação e modernização da DPE/RO,"O programa se justifica pela necessidade de estruturação, aparelhamento, manutenção, modernização e aprimoramento da comunicação na Defensoria Pública, tendo em vista o pleno funcionamento das unidades e atividades do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Comunicação Social,APRIMORAR A GESTÃO DA COMUNICAÇÃO NA DPE/RO,Atividade,"Aprimoramento da gestão da comunicação na DPE/RO, tendo em vista a divulgação efetiva dos serviços e atividades do órgão, bem como a melhoria da comunicação interna.","Realização de ações para comunicação, publicidade e realização de eventos, contratação de serviços e aquisição de bens.","Ações realizadas para comunicação, publicidade e realização de eventos.",Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Fundo Especial da Defensoria Pública do Estado de Rondônia,Área Institucional,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,ESTRUTURAÇÃO E MODERNIZAÇÃO DA DPE/RO,"Gestão, Manutenção e Serviços",Estruturação e modernização da DPE/RO,"O programa se justifica pela necessidade de estruturação, aparelhamento, manutenção, modernização e aprimoramento da comunicação na Defensoria Pública, tendo em vista o pleno funcionamento das unidades e atividades do órgão, para o cumprimento de sua missão de forma efetiva.",Essencial à Justiça,Tecnologia da Informação,GERIR E IMPLANTAR SOLUÇÕES DE TIC NA DPE/RO,Atividade,"Gestão e implantação de soluções de Tecnologia da Informação e Comunicação na DPE/RO, tendo em vista o pleno funcionamento do órgão.","Realização de aquisições de equipamentos, bem como contratação de serviços e licença de softwares.",Unidades Modernizadas.,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,AVALIAÇÃO DE POLÍTICAS PÚBLICAS,AVALIAÇÃO DE POLÍTICAS PÚBLICAS,Finalístico,"O Tribunal de Contas deverá estruturar e realizar, periodicamente, avaliações do funcionamento das políticas públicas para assegurar o funcionamento dos processos críticos que conduzam à preservação e conservação das unidades de conservação.","O Brasil e a região Norte em particular enfrentam grandes desafios para alcançar os desafios dos Objetivos de Desenvolvimento Sustentável da Agenda 2023. Na perspectiva de melhorar a qualidade de vida das atuais e futuras gerações, o TCE assume o compromisso de contribuir para o atingimento dos objetivos e metas do Plano Nacional de Educação (PNE) e do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm).",Legislativa,Controle Externo,PROMOVER AÇÕES EDUCACIONAIS E DE COOPERAÇÃO TÉCNICA,Atividade,"Disseminar boas práticas que produzam resultados relevantes nas políticas públicas priorizadas no planejamento estratégico, visando a melhoria dos Índice de Governança em Políticas Educacionais e Índice de Governança em Políticas de Proteção das Unidades de Conservação.","A ação será executada através de oficinas, eventos e outras formas de capacitação.",Capacitação dos Jurisdicionados.,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,CONTROLE EXTERNO DAS CONTAS PÚBLICAS,CONTROLE EXTERNO DAS CONTAS PÚBLICAS,Finalístico,Gestão das Ações Institucionais de Controle Externo.,"Promover a gestão fiscal responsável é condição essencial para garantir o financiamento da atuação governamental em todas as políticas públicas e, por conseguinte, para o desenvolvimento econômico e social sustentável. No geral, a maioria dos entes jurisdicionados destinam reduzida parcela da receita total aos investimentos que geram bem-estar à população e melhoram o ambiente de negócios. Para a garantia da sustentabilidade do financiamento das políticas públicas, o TCE deve atuar por meio de ações de controle tempestivas, sempre que possível de caráter preventivo, para assegurar o equilíbrio financeiro, provendo recomendações, alertas e determinações. ",Legislativa,Controle Externo,CONTROLE EXTERNO DA GESTÃO DE RECURSOS PÚBLICOS,Atividade,"Atuar por meio de ações de controle tempestivas para apreciar contas de governo, realizar o julgamento de contas e fiscalizações em volume de recursos relevantes.",Analisar contas de governo e gestão para fins de julgamento e apreciação e realizar de auditorias e inspeções in loco para avaliar a conformidade e divulgar os resultados para o público.,Apreciação de contas de governo e gestão tempestivamente. ,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,CONTROLE EXTERNO DAS CONTAS PÚBLICAS,CONTROLE EXTERNO DAS CONTAS PÚBLICAS,Finalístico,Gestão das Ações Institucionais de Controle Externo.,"Promover a gestão fiscal responsável é condição essencial para garantir o financiamento da atuação governamental em todas as políticas públicas e, por conseguinte, para o desenvolvimento econômico e social sustentável. No geral, a maioria dos entes jurisdicionados destinam reduzida parcela da receita total aos investimentos que geram bem-estar à população e melhoram o ambiente de negócios. Para a garantia da sustentabilidade do financiamento das políticas públicas, o TCE deve atuar por meio de ações de controle tempestivas, sempre que possível de caráter preventivo, para assegurar o equilíbrio financeiro, provendo recomendações, alertas e determinações. ",Legislativa,Controle Externo,CUMPRIR CONVÊNIOS INSTITUÍDOS COM ENTIDADES PRIVADAS SEM FINS LUCRATIVOS,Atividade,"Fortalecimento do sistema Tribunal de Contas, visando o aprimoramento das atividades exercidas nesta Corte de Contas. ","Desenvolver institucionalmente o Tribunal de Contas do Estado de Rondônia com os demais Tribunais de Contas do Brasil, através da realização de atividades que garantam a integração nacional e o aumento da eficiência nas ações de fiscalização e controle das contas públicas.",Cumprimento do Plano de Trabalho do Convênio.,Porcentagem,%,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,"Gestão, Manutenção e Serviços",Gestão das atividades administrativas e o desenvolvimento da política e gestão da tecnologia da informação para aprimoramento e modernização do TCE-RO.,"As atividades de gestão e governança evidenciam a existência e continuidade dos serviços prestados para o alcance dos objetivos institucionais. Justifica-se ainda pela necessidade de viabilizar as atividades de inspeção e auditoria, por intermédio de ações de apoio administrativo e tecnológico para o exercício do controle externo das contas públicas e da avaliação de políticas públicas. ",Legislativa,Tecnologia da Informação,GESTÃO DOS RECURSOS DE TI E DESENVOLVIMENTO DE SOFTWARE,Atividade,"Modernizar serviços através do uso de software, ferramentas tecnológicas e serviços voltados ao suporte e manutenção de ferramentas de TI, de forma a permitir a otimização de recursos humanos e materiais, assim como, diminuição do tempo despendido em análises, fiscalizações e julgamentos, além de possibilitar a adequação a normas e frameworks, contribuindo para adoção de melhores práticas voltadas à inovação,  modernização e segurança tecnológica do TCE-RO.","Ampliação da força de trabalho voltada a projetos de desenvolvimento de softwares, manutenção de serviços de suporte e garantia, automatização de fluxos e processos e contratação de soluções voltadas ao apoio da execução de atividades fins e meio.",Implantação/Continuidade do uso de softwares e serviços voltados para evolução tecnológica do TCERO.,Porcentagem,%,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,"Gestão, Manutenção e Serviços",Gestão das atividades administrativas e o desenvolvimento da política e gestão da tecnologia da informação para aprimoramento e modernização do TCE-RO.,"As atividades de gestão e governança evidenciam a existência e continuidade dos serviços prestados para o alcance dos objetivos institucionais. Justifica-se ainda pela necessidade de viabilizar as atividades de inspeção e auditoria, por intermédio de ações de apoio administrativo e tecnológico para o exercício do controle externo das contas públicas e da avaliação de políticas públicas. ",Legislativa,Tecnologia da Informação,GESTÃO DOS ATIVOS DE TECNOLOGIA DA INFORMAÇÃO E DA COMUNICAÇÃO,Projeto,"Tem o objetivo de garantir a ampliação e manutenção de hardware e softwares, essenciais para o funcionamento eficiente do TCE-RO de maneira a contribuir com o fortalecimento e manutenção da capacidade operacional e laboral do TCE-RO.","Contratação de serviço de fornecimento de softwares e aquisição de equipamentos permanentes, para viabilizar a manutenção da infraestrutura tecnológica do TCE-RO e garantir a disponibilidade de soluções para o suporte das demandas crescentes de processamento de dados e conectividade.","Ativos tangíveis e intangíveis de Tecnologia da Informação e Comunicação modernos e atuais, para atender as demandas das áreas fins e meio de forma a garantir a execução de ações e atividades estratégicas, operacionais e administrativas.",Porcentagem,%,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,"Gestão, Manutenção e Serviços",Gestão das atividades administrativas e o desenvolvimento da política e gestão da tecnologia da informação para aprimoramento e modernização do TCE-RO.,"As atividades de gestão e governança evidenciam a existência e continuidade dos serviços prestados para o alcance dos objetivos institucionais. Justifica-se ainda pela necessidade de viabilizar as atividades de inspeção e auditoria, por intermédio de ações de apoio administrativo e tecnológico para o exercício do controle externo das contas públicas e da avaliação de políticas públicas. ",Legislativa,Administração Geral,GERIR AS ATIVIDADES DE NATUREZA ADMINISTRATIVAS,Atividade,Assegurar o apoio administrativo para o exercício do controle externo das contas públicas e avaliação de políticas públicas.,Atuação integrada das unidades administrativas para realização das contratações e aquisições.,Cumprir o Plano Anual de Contratação - PAC.,Porcentagem,%,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,"Gestão, Manutenção e Serviços",Gestão das atividades administrativas e o desenvolvimento da política e gestão da tecnologia da informação para aprimoramento e modernização do TCE-RO.,"As atividades de gestão e governança evidenciam a existência e continuidade dos serviços prestados para o alcance dos objetivos institucionais. Justifica-se ainda pela necessidade de viabilizar as atividades de inspeção e auditoria, por intermédio de ações de apoio administrativo e tecnológico para o exercício do controle externo das contas públicas e da avaliação de políticas públicas. ",Legislativa,Administração Geral,REFORMA E ADAPTAÇÃO DE IMÓVEIS DO TCE/RO,Projeto,Reformar e ampliar imóveis do Tribunal de contas do Estado de Rondônia.,Contratação de serviços e aquisição de produtos para redimensionamento do espaço físico dos imóveis do Tribunal de Contas.,"Realização de adequação do prédio Anexo I, prédio Anexo III com ampliação para atender a Escola de Contas, Arquivo e outras unidade do TCE e a modernização do sistema de climatização do edifício sede.",Porcentagem,%,NULL,NULL,NULL
2025 - 2027,Não Vinculado ao PE,Fundo de Desenvolvimento Institucional do Tribunal de Contas do Estado de Rondônia,Área Institucional,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,"Gestão, Manutenção e Serviços",Gestão das atividades administrativas e o desenvolvimento da política e gestão da tecnologia da informação para aprimoramento e modernização do TCE-RO.,"As atividades de gestão e governança evidenciam a existência e continuidade dos serviços prestados para o alcance dos objetivos institucionais. Justifica-se ainda pela necessidade de viabilizar as atividades de inspeção e auditoria, por intermédio de ações de apoio administrativo e tecnológico para o exercício do controle externo das contas públicas e da avaliação de políticas públicas.",Legislativa,Tecnologia da Informação,GESTÃO DOS ATIVOS DE TECNOLOGIA DA INFORMAÇÃO E DA COMUNICAÇÃO,Projeto,"Tem o objetivo de garantir a ampliação e manutenção de hardware e softwares, essenciais para o funcionamento eficiente do TCE-RO de maneira a contribuir com o fortalecimento e manutenção da capacidade operacional e laboral do TCE-RO.","Contratação de serviço de fornecimento de softwares e aquisição de equipamentos permanentes, para viabilizar a manutenção da infraestrutura tecnológica do TCE-RO e garantir a disponibilidade de soluções para o suporte das demandas crescentes de processamento de dados e conectividade.",Ativos tangíveis e intangíveis de Tecnologia da Informação e Comunicação,Porcentagem,%,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Contabilidade Geral do Estado,Área Econômica,MODERNIZAR A CONTABILIDADE GERAL DO ESTADO,MODERNIZAR A CONTABILIDADE GERAL DO ESTADO,Finalístico,"Promover a modernização da Contabilidade Geral do Estado através da integração do SIGEF com os demais sistemas do Estado, buscando capacitar e aperfeiçoar o capital humano da COGES, bem como potencializar a eficiência nos mecanismos de controles e transparência das informações contábeis.","Planejar, coordenar, supervisionar e controlar as atividades contábeis, bem como acompanhar, centralizar e divulgar os resultados da gestão contábil e fiscal do Estado;  Elaborar e disponibilizar informações contábeis, fiscais e gerenciais, incluídos os indicadores constitucionais e legais que subsidiem a tomada de decisão e permitam eficácia e efetividade à Administração Pública Estadual;  ",Administração,Comunicação Social,"PROMOVER E AMPLIAR OS MECANISMOS DE CONTROLE, ACOMPANHAMENTO E TRANSPARÊNCIA DAS INFORMAÇÕES CONTÁBEIS",Atividade,"Obter estratégias para propagar informações contábeis, fiscais e orçamentárias à sociedade de forma descomplicada e escalável. Ampliar meios de divulgação dessas informações estimulando à sociedade quanto ao conhecimento.","Através de sites, relatórios, painéis interativos e distribuição de exemplares do balanço cidadão.","Apresentar ao cidadão rondoniense, órgãos de controles e demais setores da sociedade um instrumento de fácil compreensão, com linguagem clara e objetiva, sobre a administração transparente dos recursos públicos e auxiliá lo no controle e na fiscalização dos valores aplicados nas áreas principais: Saúde, Educação, Segurança e Assistência Social.",Unidade,Un,NULL,NULL,NULL
